자치구,동,지하철 주변 버스정류장 수,
강남구,일원본동,1,"수서, 대청, 일원"
강남구,일원1동,1,"수서, 대청, 일원"
강남구,일원2동,0,"개포동, 한티, 학여울"
강남구,수서동,9,수서
강남구,세곡동,0,"복정, 장지, 가천대"
강남구,압구정동,3,"신사, 압구정로데오, 압구정"
강남구,청담동,9,"청담, 압구정로데오, 강남구청"
강남구,대치2동,6,"한티, 학여울, 대치"
강남구,개포2동,0,"개포동, 구룡, 대청"
송파구,풍납1동,2,"천호, 강동구청, 강동"
송파구,풍납2동,0,"잠실나루, 잠실, 몽촌토성"
송파구,거여1동,0,거여
송파구,거여2동,3,거여
송파구,마천1동,1,"마천, 거여"
송파구,마천2동,1,"마천, 개롱, 거여"
송파구,방이1동,2,"올림픽공원, 방이, 한성백제"
송파구,방이2동,0,"올림픽공원, 방이, 한성백제"
송파구,오륜동,0,"올림픽공원, 방이, 한성백제"
송파구,오금동,3,"오금, 개롱, 방이"
송파구,송파1동,1,"송파나루, 석촌, 송파"
송파구,송파2동,2,"송파나루, 석촌, 송파"
송파구,석촌동,5,"석촌, 석촌고분"
송파구,삼전동,0,"석촌고분, 삼전, 잠실"
송파구,가락본동,10,"가락시장, 송파, 경찰병원"
송파구,가락1동,1,"가락시장, 송파, 경찰병원"
송파구,가락2동,0,"가락시장, 송파, 경찰병원"
송파구,문정1동,0,"문정, 장지"
송파구,문정2동,3,"복정, 문정, 장지"
송파구,장지동,3,"복정, 문정, 장지"
송파구,위례동,3,"가락시장, 복정, 문정"
송파구,잠실본동,0,"잠실, 잠실새내, 종합운동장"
송파구,잠실4동,3,"잠실, 잠실새내, 종합운동장"
송파구,잠실6동,1,"잠실, 잠실새내, 종합운동장"
송파구,잠실7동,0,"잠실, 잠실새내, 종합운동장"
송파구,잠실2동,1,"잠실, 잠실새내, 종합운동장"
송파구,잠실3동,0,"잠실, 잠실새내, 종합운동장"
강동구,강일동,0,"상일동, 고덕"
강동구,상일동,2,"상일동, 미사"
강동구,명일1동,0,"명일, 굽은다리, 고덕"
강동구,명일2동,0,"명일, 굽은다리, 고덕"
강동구,고덕1동,0,"고덕, 상일동"
강동구,고덕2동,3,"고덕, 상일동"
강동구,암사2동,0,"암사, 천호, 명일"
강동구,암사3동,0,"암사, 명일, 굽은다리"
강동구,천호1동,2,"강동, 천호"
강동구,천호3동,0,"강동, 천호"
강동구,성내1동,2,"강동구청, 천호, 강동"
강동구,성내2동,4,"강동구청, 천호, 강동"
강동구,성내3동,2,"강동구청, 천호, 강동"
강동구,둔촌1동,2,"둔촌동, 중앙보훈병원, 둔촌오륜"
강동구,둔촌2동,0,"둔촌동, 중앙보훈병원, 둔촌오륜"
강동구,암사1동,0,"암사, 천호, 명일"
강동구,천호2동,2,"강동, 천호"
강동구,길동,3,"길동, 강동, 둔촌동"
