자치구,동,지하철 주변 버스정류장 수,자치구 내 지하철역
용산구,이태원2동,0,"용산, 서울, 이태원, 숙대입구, 삼각지, 남영, 녹사평, 신용산, 한강진, 이촌, 효창공원, 한남, 서빙고"
용산구,서빙고동,0,"용산, 서울, 이태원, 숙대입구, 삼각지, 남영, 녹사평, 신용산, 한강진, 이촌, 효창공원, 한남, 서빙고"
용산구,보광동,0,"용산, 서울, 이태원, 숙대입구, 삼각지, 남영, 녹사평, 신용산, 한강진, 이촌, 효창공원, 한남, 서빙고"
용산구,청파동,4,"용산, 서울, 이태원, 숙대입구, 삼각지, 남영, 녹사평, 신용산, 한강진, 이촌, 효창공원, 한남, 서빙고"
용산구,원효로1동,0,"용산, 서울, 이태원, 숙대입구, 삼각지, 남영, 녹사평, 신용산, 한강진, 이촌, 효창공원, 한남, 서빙고"
용산구,한강로동,9,"용산, 서울, 이태원, 숙대입구, 삼각지, 남영, 녹사평, 신용산, 한강진, 이촌, 효창공원, 한남, 서빙고"
용산구,한남동,5,"용산, 서울, 이태원, 숙대입구, 삼각지, 남영, 녹사평, 신용산, 한강진, 이촌, 효창공원, 한남, 서빙고"
성동구,왕십리2동,0,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,마장동,8,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,사근동,3,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,행당1동,2,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,행당2동,2,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,응봉동,0,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,금호1가동,1,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,금호4가동,0,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,성수1가1동,6,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,성수1가2동,5,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,성수2가1동,2,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,성수2가3동,0,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,송정동,0,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,용답동,2,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,왕십리도선동,2,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,금호2.3가동,1,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
성동구,옥수동,1,"성수, 왕십리, 옥수, 뚝섬, 답십리, 금호, 서울숲, 응봉, 행당, 상왕십리, 한양대, 신답, 신금호, 마장"
광진구,화양동,7,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,군자동,2,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,중곡1동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,중곡2동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,중곡3동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,중곡4동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,능동,3,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,구의1동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,구의2동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,구의3동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,광장동,3,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
