자치구,범죄발생횟수(살인+강도+강간강제추행+절도+폭력 발생횟수),순위,기준
종로구,"3,690",14,3
중구,"4,030",10,2
용산구,"3,411",19,4
성동구,"2,457",24,5
광진구,"3,915",13,3
동대문구,"3,680",15,3
중랑구,"4,288",9,2
성북구,"3,042",22,5
강북구,"3,437",18,4
도봉구,"2,249",25,5
노원구,"4,007",11,3
은평구,"3,590",16,4
서대문구,"2,802",23,4
마포구,"5,172",4,1
양천구,"3,515",17,4
강서구,"4,629",8,2
구로구,"4,810",6,2
금천구,"3,293",20,4
영등포구,"5,840",2,1
동작구,"3,100",21,5
관악구,"5,026",5,1
서초구,"4,726",7,2
강남구,"7,513",1,1
송파구,"5,807",3,1
강동구,"3,919",12,3
